"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","Tack för inget."
"traveler:HIRING_ENGINEERS_END","I get only one call.","Jag fick bara ett samtal."
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","Jag har tur att han är bra."
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","Här är vad jag lovade."
"traveler:HIRING_ENGINEERS_END","I got two calls.","Jag fick två samtal."
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","En kille, han var bra."
"traveler:HIRING_ENGINEERS_END","Other one not so much.","Andra, inte så mycket."
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","Tack ändå."
"traveler:HIRING_ENGINEERS_END","I got three calls.","Jag fick tre samtal."
"traveler:HIRING_ENGINEERS_END","Two guys were good.","Två var bra killar."
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","Sista var en idiot. Kunde inte grunderna."
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","Men är ok. Jag uppskattar."
"traveler:HIRING_ENGINEERS_END","I got four calls.","Jag fick fyra samtal."
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.","Tre var civilingenjörer. Värdelöst."
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.","Jag behöver maskiningenjörer. Jag sa till dig."
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.","I alla fall, är ok. Sista kille var väldigt smart."
"traveler:HIRING_ENGINEERS_END","Thanks for the help.","Tack för hjälpen."
"traveler:FRIENDLY_GUARD0","Hello.","Hallå."
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?","Jag hörde att du är från Nirsk?"
"traveler:FRIENDLY_GUARD0","I grew up there but I have not been back in many years.","Jag växte upp där men har inte varit tillbaka på många år."
"traveler:FRIENDLY_GUARD0","@It is still a shit-hole. As before.","@Det är fortfarande en skithåla. Som innan."
"traveler:FRIENDLY_GUARD0","Haha, of course. This is what I remember too.","Haha, så klart. Detta är vad jag minns också."
"traveler:FRIENDLY_GUARD0","I am Sergiu. It is good to meet you.","Jag är Sergiu. Det är trevligt att träffa dig."
"traveler:FRIENDLY_GUARD0","I will do my best to keep you safe.","Jag ska göra mitt bästa för att hålla dig säker."
"traveler:FRIENDLY_GUARD1","Thank you for yesterday.","Tack för igår."
"traveler:FRIENDLY_GUARD1","My aim is not like before.","Mitt sikte är inte som förr."
"traveler:FRIENDLY_GUARD2","There is more action at this checkpoint than in the war.","Det händer mer vid denna kontroll än i kriget."
"traveler:FRIENDLY_GUARD2","I fought in Kolechia for 5 years.","Jag stred i Kolechia i 5 år."
"traveler:FRIENDLY_GUARD2","If you think it is bad in Arstotzka, it is ten times worse in Kolechia.","Om du tycker att det är eländigt i Arstotzka, så är det tio gånger värre i Kolechia."
"traveler:FRIENDLY_GUARD2","I do not blame them for coming here.","Jag klandrar dem inte för att komma hit."
"traveler:FRIENDLY_GUARD2","Anyways, you are doing well. Keep it up.","Hur som helst, du sköter dig bra. Fortsätt med det."
"traveler:FRIENDLY_GUARD3","Friend, how are you?","Kompis, hur mår du?"
"traveler:FRIENDLY_GUARD3","I have a small favor to ask.","Jag vill be om en liten tjänst."
"traveler:FRIENDLY_GUARD3","During the war, I met a beautiful girl.","Under kriget träffade jag en vacker flicka."
"traveler:FRIENDLY_GUARD3","I think about her every moment.","Jag tänker på henne hela tiden."
"traveler:FRIENDLY_GUARD3","Yesterday I receive word that she is finally coming here.","Igår fick jag reda på att hon äntligen kommer hit."
"traveler:FRIENDLY_GUARD3","Please, let her pass and I will be in your debt.","Snälla, låt henne passera och jag kommer vara i skuld till dig."
"traveler:FRIENDLY_GUARD3","Her name is Elisa.","Hennes namn är Elisa."
"traveler:FRIENDLY_GUARD4","Thank you for everything.","Tack för allt."
"traveler:FRIENDLY_GUARD4","Elisa is so happy here.","Elisa är så lycklig här."
"traveler:FRIENDLY_GUARD4","She says our first son will have your name.","Hon säger att vår första son ska bära ditt namn."
"traveler:FRIENDLY_GUARD4","This is fine but I told her I want a daughter first!","Detta är bra men jag sa till henne att jag vill ha en dotter först!"
"traveler:FRIENDLY_GUARD4","I would like to show the locket to her.","Jag skulle vilja visa henne medaljongen."
"traveler:FRIENDLY_GUARD4","Do you still have it?","Har du den fortfarande?"
"traveler:FRIENDLY_GUARD4","Ah, I missed not having this with me.","Åh, jag saknade att inte ha denna med mig."
"traveler:FRIENDLY_GUARD4","It is not much, but we have found a small way to thank you.","Det är inte mycket, men vi har hittat ett litet sätt att tacka dig."
"traveler:FRIENDLY_GUARD4","Elisa will deliver it to your home. I hope that it helps.","Elisa kommer med det till ditt hem. Jag hoppas att det hjälper."
"traveler:FRIENDLY_GUARD4","Tomorrow I am transferred to another post.","Imorgon förflyttas jag till en annan tjänst."
"traveler:FRIENDLY_GUARD4","Stay safe my friend.","Håll dig säker min vän."
"traveler:FRIENDLY_GUARD4","Elisa did not come.","Elisa kom inte."
"traveler:FRIENDLY_GUARD4","@She arrived, but her papers were not in order.","@Hon kom, men hennes papper var inte i ordning."
"traveler:FRIENDLY_GUARD4","@Tell her to try again with the correct documents.","@Säg åt henne att försöka igen med korrekt dokument."
"traveler:FRIENDLY_GUARD4","You know this is impossible.","Du vet att detta är omöjligt."
"traveler:FRIENDLY_GUARD4","If you have the locket, give it back to me.","Om du har medaljongen, ge mig den tillbaka."
"traveler:ELISA","Do you know Sergiu?","Känner du Sergiu?"
"traveler:ELISA","He said you were friend. That you would help.","Han sa att du var vän. Att du ska hjälpa."
"traveler:ELISA","Please, my family is gone.","Snälla, min familj är borta."
"traveler:ELISA","I have only Sergiu left.","Jag har bara Sergiu kvar."
"traveler:ELISA","@You do not have the required documentation.","@Du har inte dokumentationen som krävs."
"traveler:ELISA","I tried for so long.","Jag försökte så länge."
"traveler:ELISA","They would not allow me to leave.","Du tillät mig inte att lämna."
"traveler:ELISA","I am denied?","Jag avslås?"
"traveler:ELISA","I understand.","Jag förstår."
"traveler:ELISA","Please, tell Sergiu I will always love him.","Säg åt Sergiu att jag alltid kommer älska honom."
"traveler:ELISA","We will be together in another life.","Vi kommer vara tillsammans i ett annat liv."
"traveler:ELISA","Return this for him to remember me.","Återlämna detta till honom för att minnas mig."
"traveler:ELISA","Thank you so much.","Tack så mycket."
"traveler:ELISA","I will never forget your kindness.","Jag kommer aldrig glömma din godhet."
"traveler:ELISA","@He is waiting for you.","@Han väntar på dig."
"traveler:ELISA","My love.","Min kärlek."
"traveler:ELISA","I miss him.","Jag saknar honom."
"traveler:ELISA","@I am sorry. Sergiu was killed.","@Jag är ledsen. Sergiu dödades."
"traveler:ELISA","My Sergiu.","Min Sergiu."
"traveler:ELISA","Thank you for your kindness.","Tack för din godhet."
"traveler:ELISA","There is nothing for me here any more.","Det finns inget för mig här längre."
"traveler:ELISA","Thank you.","Tack."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained nobody.","Du kvarhöll ingen."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained only one person.","Du kvarhöll bara en person."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained ${Game/NumDetains} people.","Du hvarhöll ${Game/NumDetains} personer."
"traveler:PRISON_GUARD0","Hello.","Hallå."
"traveler:PRISON_GUARD0","@Are you the spy?","@Är du spionen?"
"traveler:PRISON_GUARD0","What? No.","Vadå? Nej."
"traveler:PRISON_GUARD0","I am guard here. My name is Calensk.","Jag är vakt här. Mitt namn är Calensk."
"traveler:PRISON_GUARD0","They told me I get good position, then send me here.","De sa till mig att jag ska få bra position, sen de skickar mig hit."
"traveler:PRISON_GUARD0","This is thanks I get.","Detta är tack jag får."
"traveler:PRISON_GUARD0","Now they pay me almost nothing.","Nu de betalar mig nästan inget."
"traveler:PRISON_GUARD0","@They pay us all as much.","@De betalar oss alla lika mycket."
"traveler:PRISON_GUARD0","Yes. But look.","Ja. Men se här."
"traveler:PRISON_GUARD0","I get small bonus when you detain people.","Jag får liten bonus när du håller kvar folk."
"traveler:PRISON_GUARD0","More you detain, more they give me for processing.","Fler du håller kvar, mer de ger mig för behandling."
"traveler:PRISON_GUARD0","But this is not fair, right? You should get something too.","Men detta är inte rättvist, eller hur? Du borde få något med."
"traveler:PRISON_GUARD0","So I fix this problem.","Så jag fixar detta problem."
"traveler:PRISON_GUARD0","I give you 5 credits from my bonus for every two people you detain.","Jag ger dig 5 krediter från min bonus för varje två personer du kvarhåller."
"traveler:PRISON_GUARD0","Sounds like good deal to me.","Låter som bra affär, visst?"
"traveler:PRISON_GUARD0","I give money to you after I get paid.","Jag ger pengar till dig efter jag får betalt."
"traveler:PRISON_GUARD0","Let us make the best of this.","Låt oss göra det bästa av detta."
"traveler:PRISON_GUARD3","Here.","Här."
"traveler:PRISON_GUARD3","For bonus and selling bomb parts.","För bonus och försäljning av bombdelar."
"traveler:PRISON_GUARD3","They move our station to prison.","De flyttar vår station till fängelse."
"traveler:PRISON_GUARD3","We still get bonus so keep detaining.~","Vi fortfarande får bonus så fortsätt kvarhåll.~"
"traveler:PRISON_GUARD3","I stop visiting you here.","Jag slutar träffa dig här."
"traveler:PRISON_GUARD3","I will drop off money at your home instead.","Jag lämnar pengar i ditt hem istället.."
"traveler:PRISON_GUARD3","Every other night.","Varannan natt."
"traveler:PRISON_GUARD_PAYOUT","What is going on?","Vad händer?"
"traveler:PRISON_GUARD_PAYOUT","I am getting nothing because of you.","Jag får inget på grund av dig."
"traveler:PRISON_GUARD_PAYOUT","Detain more people and we will both benefit.","Kvarhåll fler människor och vi kommer båda gagnas."
"traveler:PRISON_GUARD_PAYOUT","Good morning.","God morgon."
"traveler:PRISON_GUARD_PAYOUT","You are not detaining enough people.","Du kvarhåller inte tillräckligt med människor."
"traveler:PRISON_GUARD_PAYOUT","I have nothing to give you.","Jag har inget att ge dig."
"traveler:PRISON_GUARD_PAYOUT","Detain more to share part of my bonus.","Kvarhåll fler för att få en del av min bonus."
"traveler:PRISON_GUARD_PAYOUT","Bonus is good, they pay ok.","Bonus är bra, de betalar ok."
"traveler:PRISON_GUARD_PAYOUT","It is not much though.","Det är inte så mycket men..."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people and we do better.","Kanske du håller kvar fler personer och vi får bättre."
"traveler:PRISON_GUARD_PAYOUT","@This is not enough.","@Detta är inte tillräckligt."
"traveler:PRISON_GUARD_PAYOUT","Yes, I know.","Ja, jag vet."
"traveler:PRISON_GUARD_PAYOUT","My wife sick now. Neighbor spreads the flu.","Min fru är sjuk nu. Grannar smittade med influensa."
"traveler:PRISON_GUARD_PAYOUT","This is what is left after medicine.","Detta är kvar efter medicin."
"traveler:PRISON_GUARD_PAYOUT","I give you rest next time.","Jag ger dig resten nästa gång."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people to make it easier.","Kanske du håller kvar fler personer för att göra det lättare."
"traveler:PRISON_GUARD_PAYOUT","Here is your cut.","Här är din andel."
"traveler:PRISON_GUARD_PAYOUT","@There is more from last time.","@Det är mer från förra gången."
"traveler:PRISON_GUARD_PAYOUT","This is all I have now but soon I make up rest.","Detta är allt jag har nu men snart jag får resten."
"traveler:PRISON_GUARD_PAYOUT","Again it is a little short.","Igen det är lite lite."
"traveler:PRISON_GUARD_PAYOUT","Keep detaining and I pay you back soon.","Fortsätt kvarhåll och jag betalar tillbaka snart."
"traveler:PRISON_GUARD_BOMB","What is going on?","Vad händer?"
"traveler:PRISON_GUARD_BOMB","Oh. Hah.","Jaha. Ha."
"traveler:PRISON_GUARD_BOMB","What is this amateur shit?","Vad är detta för amatörskit?"
"traveler:PRISON_GUARD_BOMB","@Should we evacuate?","@Ska vi evakuera?"
"traveler:PRISON_GUARD_BOMB","For that little thing? No of course not.","För den lilla saken? Nej självklart inte."
"traveler:PRISON_GUARD_BOMB","Just disable it. Open the cover.","Bara stäng av den. Öppna locket."
"traveler:PRISON_GUARD_BOMB","Stupid fucking terrorist.","Dumma jävla terrorist."
"traveler:PRISON_GUARD_BOMB","Could not even add a display.","Kunde inte ens lägga till en display."
"traveler:PRISON_GUARD_BOMB","@What should I do now?","@Vad ska jag göra nu?"
"traveler:PRISON_GUARD_BOMB","This is poorest bomb I ever see. A simple mind created this.","Detta är den sämsta bomb jag någonsin sett. En simpel man skapade detta."
"traveler:PRISON_GUARD_BOMB","Just cut the wires in order.","Klipp bara kablarna i ordning."
"traveler:PRISON_GUARD_BOMB","Ok, all done. Back to work.","Ok, allt klart. Tillbaka till jobbet."
"traveler:PRISON_GUARD_BOMB","@We should close the checkpoint.","@Vi borde stänga gränskontrollen."
"traveler:PRISON_GUARD_BOMB","Bullshit. I need to earn money today.","Skitsnack. Jag behöver tjäna mer pengar idag."
"traveler:PRISON_GUARD_BOMB","Give bomb to me.","Ge bomb till mig."
"traveler:PRISON_GUARD_BOMB","I sell materials and give you cut.","Jag säljer material och ger dig andel."
"traveler:PRISON_GUARD_BOMB","What a piece of shit.","Vilken skit."
"traveler:PRISON_GUARD_BOMB","I doubt it is even worth much.","Jag tror inte ens det är värt mycket."
"traveler:PRISON_GUARD_BOMB","Call the next immigrant.","Ropa in nästa invandrare."
"traveler:TIME_BOMBER","DEATH TO ARSTOTZKA!","DÖD ÅT ARSTOTZKA!"
"traveler:BOSS_REPORTCITATIONS","You have received no citations.","Du har inte fått några citeringar."
"traveler:BOSS_REPORTCITATIONS","You have received one citation.","Du har fått en citering."
"traveler:BOSS_REPORTCITATIONS","You have received ${Game/NumCitations} citations.","Du har fått ${Game/NumCitations} citeringar."
"traveler:BOSS0","So.~","Så...~"
"traveler:BOSS0","You are inspector here.~","Du är inspektör här.~"
"traveler:BOSS0","That makes you my responsibility.~","Det gör dig till mitt ansvar.~"
"traveler:BOSS0","You make Arstotzka proud.~","Du gör Arstotzka stolt.~"
"traveler:BOSS0","Hang it on wall here.","Häng det på vägg här."
"traveler:BOSS0","I return in 10 days.~","Jag kommer tillbaka om 10 dagar.~"
"traveler:BOSS0","Maintain your diligence.","Behåll din arbetsamhet."
"traveler:BOSS0","Glory to Arstotzka.","Ära åt Arstotzka."
"traveler:BOSS0","Perhaps it was mistake to rely on lottery.","Kanske det var misstag att lita på lotteri."
"traveler:BOSS0","Let this motivate you.~","Låt detta motivera dig.~"
"traveler:BOSS0","Do not embarrass me.","Skäm inte ut mig."
"traveler:BOSS0","It makes me look like fool to trust lottery.~","Det får mig att se ut som idiot att lita på lotteri.~"
"traveler:BOSS0","Let this motivate you to improve.~","Låt detta motivera dig till förbättring.~"
"traveler:BOSS0","Do not embarrass me further.","Skäm inte ut mig ytterligare."
"traveler:BOSS1","It is too early to come all the way out here.","Det är för tidigt att komma hela vägen ut hit."
"traveler:BOSS1","The smell at this checkpoint makes me sick.","Lukten vid den här gränskontrollen gör mig illamående."
"traveler:BOSS1","Where is plaque I gave you?","Var är plakett jag gav dig?"
"traveler:BOSS1","Why is it not on wall?","Varför det är inte på vägg?"
"traveler:BOSS1","What is other shit hanging here?","Vad är annan skit som hänger där?"
"traveler:BOSS1","These walls are for official plaques only.","Dessa väggar är för officiell plakett bara."
"traveler:BOSS1","Your pay will be docked for violation.","Det kommer dras från din lön för överträdelse."
"traveler:BOSS1","@It will not happen again.","@Det kommer inte hända igen."
"traveler:BOSS1","At least you are performing well.","Åtminstone du presterar bra."
"traveler:BOSS1","Continue this honorable service.","Fortsätt denna hedervärda tjänst."
"traveler:BOSS1","At least your performance is not terrible.","Åtminstone din prestation är inte hemsk."
"traveler:BOSS1","Do not slip further.","Sjunk inte lägre."
"traveler:BOSS1","And your performance is terrible.","Och din prestation är hemsk."
"traveler:BOSS1","Maybe you have forgotten what your job is.","Kanske du har glömt vad ditt jobb är."
"traveler:BOSS1","There are many more who can take your place.","Det är många fler som kan ta din plats."
"traveler:BOSS1","Now.","Nu."
"traveler:BOSS1","I have old friend coming through.","Jag har en gammal vän som kommer hit."
"traveler:BOSS1","Approve her entry.","Godkänn hennes inresa."
"traveler:BOSS1","She is Shae Piersovska.~","Hon är Shae Piersovska.~"
"traveler:BOSS1","I do not want to hear of any trouble to her.","Jag vill inte höra av något krångel mot henne."
"traveler:BOSS1","Glory to Arstotzka.","Ära åt Arstotzka."
"traveler:BOSS2","You little bastard.~","Ditt lilla svin.~"
"traveler:BOSS2","Shae thinks I am powerless fool now.","Shae tror jag är maktlös idiot nu."
"traveler:BOSS2","It was made very clear to let her through.","Det gjordes mycket klart att släppa henne igenom."
"traveler:BOSS2","Now I must think about the consequences for you.~","Nu måste jag tänka på konsekvenserna för dig.~"
